name,ProductDescription,id
Aerostar Manufacturing,Precision machining & assembly services,4194
"Agile Services, Inc","Agile Tech Labs is a Technology Solutions, Services, Consulting, and Staffing organization.  Agile Tech Labs is focused on leading-edge and emerging technologies such as Robotics Process Automation (RPA), CyberSecurity for Automotive, Machine Learning, and Artificial Intelligence, Data Analytics, IT Application Development, Mobility, Microsoft stack, Cloud Computing, Quality Assurance (QA), Automation, DevOps, Business Intelligence and Data Warehouse. With its flexible yet robust engagement models of delivering turn-key projects, building onsite, nearshore & hybrid teams, and talent creation, Agile tech labs offer much-needed value-add to its customers.  Agile Tech Labs offers a range of engagement models such as turn-key projects and IT and Non-IT professional staffing (contract, contract-to-hire & direct perm).",4585
"Agile Zone, LLC","Agile Zone is a Minority Certified Enterprise (MBE), Michigan based IT Staffing agency and custom software development company. We provide consulting and implementation of Digital Marketing, eCommerce, Salesforce, Mobile and IoT development.
Our technology partners include Adobe Enterprise Solution, Shopify eCommerce and Salesforce consulting.
Our team is geographically distributed throughout the USA with office locations in Ann Arbor, Michigan and Cleveland, Ohio.

Core Capabilities:

Staff Augmentation
Adding value to organizations since 2012 by providing IT technical staffing resources with varied skill sets ranging from Business Analyst to Architect and Quality Assurance expertise.
Intrusion and Malware Detection

Digital Marketing
We are an Adobe Marketing Cloud and eCommerce Shopify Partner, helping businesses to grow with Internet presence to reach their clients and end users. 

Mobile Development
We help businesses from startups to large corporations fulfill their potential by implementing scalable Android and IOS mobile applications with latest technologies.

Salesforce
With Salesforce Partnership, we provide Salesforce platform administration and implementation for medium to large businesses.  We help our clients with MuleSoft as well.  
Intrusion and Malware Detection

Internet of Things (IoT)
We help businesses, startups, and entrepreneurs to make their IoT device and application dream into realty. Our start to finish full scale IoT offering includes hardware, firmware and mobile development and support.
Intrusion and Malware Detection
",4343
AHD-LLC,"Distributor and repair of industrial spare parts and components such as hydraulic, electrical,electronic and pneumatic components.",14265
Aibond Corp,"Aibond's product is a cloud-based supply chain management software solution. It powers enterprises to automate and track their maintenance repair & operations (MRO) workflows (repair management, warehousing, inventory, eCommerce and more) while keeping their Operations running at peak performance. Track & Trace software product by Aibond provides supply chain traceability solution. The video analytics products provides safety and security solutions. The engineering services offered by Aibond includes custom sensor integration in automotive electronics, autonomous vehicle and robotics software consultancy, functional safety assessment for electric vehicles including battery management systems and advanced driver assist system (ADAS) testing. ",13639
"Air Doctors Heating and Cooling, LLC.","We are a full-service heating, ventilation, air conditioning, refrigeration, electrical, and energy management company. ",13395
"Ajamu Group, LLC (The)","Corporate and Sporting events management, social media strategies, social media content creation, national advertising sponsorship sales and fulfillment. ",4129
AKAdams PLC,"A|Squared Legal Group assists businesses in corporate transactions and litigation, including business and contract disputes, intellectual property, and employment matters.  Additionally, A|Squared Legal Group consults in human resources management.",4269
Alana Metal Products Corporation,Sheet Metal Fabrication for various industries.,13737
Albaari and Partners LLC,"Albaari & Partners LLC provides Architectural and Engineering Design Services to both public and private entities. As a part of those services, the Firm also provides Estimating, Project Management and On-site Construction Management Services . Mr. Albaari is an AIA and NCARB Registered Architect with 30+ years of experience. He also is LEED BD + C certified. He has designed numerous public facilities, such as educational facilities, libraries and medical facilities as well as private industrial, commercial/office facilities, sports and entertainment facilities, and residential facilities. Ms. Albaari has 20+ years of experience in the construction management field, with significant experience and expertise in Estimating, Strategic Planning, and Construction Project Management. She is a Certified Project Manager Professional with LEED AP Certification. Both are respected professionals in their respective areas of expertise. ",13568
Albah Manufacturing Technologies Corp,"Engineering Service
Process and Physical Distribution
All Other Minerals Ore Mining Distribution
Other Commercial and Services Industry Machinery MAnufacturing",4292
"Alexander Legacy Private Wealth Management, PLLC","We work with individuals and families to help them make informed and educated decisions about their finances. We are on a mission to help 100,000 families create multi-generational wealth through legacy, philanthropy and impact. Our services include: financial planning, asset management, legacy planning, risk management and investment education.  We are dually focused on launching careers for the next generation to become financial advisors.",13496
Alfield Reeves Photography,"Alfield Reeves Photography provides professional photography services such as 
- Portrait Photography
- Editorial Photography
- Commercial Photography
- Headshot Photography
- Event Photography
- Wedding Photography",12508
"Algomus, Inc.","Algomus is ana analytics software company. Algomus grows the collaborative intelligence profile of an enterprise, with people and AI agents working hand in hand to deliver exponential business outcomes. Algomus has built Algo, an AI powered Business Analyst and an integrated workflow platform of its kind. Algo is always on. It mines Big Data and develops an internal representation and higher level understanding of an enterprise and its data environment to help business people get answers to their questions quickly, easily and accurately. Algo learns to perform tedious analytic tasks to give its human colleagues more time and freedom to be strategic and creative. Algo fosters collaboration through proactive opportunity finding, anomaly detection, insights sharing and story boarding.",4365
ALIM ARTS,Specializes in sales & distribution of Fine Art and African Art.,13696
Alka Rails & Manipulators LLC,"Material Handling Experts, Conveyors, Overhead rails systems, Carts, Racks systems, Shop Stocks, Flow Racks.",13685
All About Technology,"Computer Hardware, Software and Electronics Reseller
CompTIA Authorized Repair Center
Computer and Electronics Recycler
Microsoft Authorized Refurbisher.",4295
"All American Embroidery, Inc.","The company does embroidery, screen-printing and various promotional products along with sporting and recreational goods including complete uniforms for all sports.",13883
All in One Supply,Full line industrial supply and maintenance company,13966
"All N All Supplies, LLC","All-N-All Supplies, LLC is a supplier of educational resources, office products as well as medical personal protection equipment.  ",10923
"All Pro Web Design, Inc","All Pro Color is a Michigan based graphic design and commercial printing company that has fostered relationships and earned the trust of more than 30,000 customers nationwide. We pride ourselves in offering our services in the fastest turnaround time, at the highest quality and at the most reasonable cost.  All Pro has blossomed into a viable resource for entrepreneurs, small businesses, political campaigns, churches, non-profit organizations and everyday people. We print business cards, flyer, brochures, books, posters, lawn signs, wide format posters  and physical and digital marketing products.",13331
ALL STREET INDUSTRIES LLC,ALL STREET INDUSTRIES PROVIDES DUMPSTER RENTAL SERVICES FOR CONSTRUCTION DEBRIS.,13364
"All Tech Solutions, LLC","All Tech Solutions (ATS) provides design and implementation of audio visual and teleconferencing equipment to commercial and Federal Government.  In addition, ATS can configure and sell industry leading servers, storage arrays and networking applications.  ",14040
"Allegiance Technologies, Inc.",Information technology consulting & recruiting,4015
Alliance Prints LLC,Alliance Prints is a family-owned business. We are a full-service custom apparel and promotional products company with more than 50 years of combined experience. We have an extensive background in serving a variety of industries from healthcare and insurance to schools and sports teams.,13474
"Alliance Technology Solutions, LLC",Technology Solutions; Resale of hardware & software,13856
"Allied Home Health Care & Nursing Services, LLC","Providing in home health care services including nursing, physical therapy, occupational therapy, social work, health aide for a variety of health conditions: CHF, COPD, diabetes, wounds, infusion services, etc.",13903
Allograph Notary,"Allograph Notary is a mobile notary service. Allograph Notary specializes in general notary services, Power of Attorney documents, Trust certifications, Loan closings for real estate transactions, and estate planning.",13510
AllPackS,"AllPackS is a manufacturer and broker of pallets, corrugated boxes, packaging supplies.  Our specialty is in setup packs (also known as Pallet boxes, export packs, and many other names), but we are capable of servicing just about any packing supply need a customer may have.  We use our manufacturing capability and strategic relationships to provide a one stop shop for our customers' packaging needs.  

We manufacture and sell pallets and export packs / set-up packs.  

AllPackS is also a premier provider of warehousing, kitting, sorting, sequencing, and fulfillment services.  ",13320
ALLPERPLUS LLC,We offer a pesticide that's safe for humans plants and pets ,8977
"All-Pro Physical Therapy, LLC",Outpatient physical therapy services,4093
"All-Star Carpet Care, Inc.","carpet cleaning, specializes in carpet care using a truck mount cleaning sytem, tsunami extrator, hand held cleaners & top of the line products",14182
"Alpha Electric & Engineering, LLC","Electrical Design Systems, Electric, Electrical Design Software, Commercial/Industrial Electrician, and Design Electric.",13732
Alpha Moving Company LLC,"484210; 484210; 484210; Furniture moving, used
484210; 484210; 484210; Motor freight carrier, used household goods
484210; 484210; 484210; Trucking used household, office, or institutional furniture and equipment
484210; 484210; 484210; Used household and office goods moving
484210; 484210; 484210; Van lines, moving and storage services",5341
"ALPHA PLUS ENTERPRISES, INC.",WHOLESALE DISTRIBUTOR OF JANITORIAL SUPPLIES,3877
Alpha staffing solutions LLc,"Temp service personal to fulfill both front-of-the-house and back-of-the-house needs of hotels, banquet, catering. food and beverage and Health care facility, Factories etc. 

",14256
"Alpha Synopsys, Inc.","Consulting services, IT technology services and business improvement process to its customers, range from mid to fortune 500 companies.",13702
"Alphasoft Solutions, Inc.",IT Consulting Services ,4318
ALT3 LLC,"ALT3 provides technology consulting services. Providing in-depth knowledge on transformational services to help improve products and services rendered by organizations. As part of the consultation offers procurement services for hardware and software. With extensive knowledge of the communication landscape, we also provide radio and telephony communication services. ",13619
Alta Distribution LLC,"IWe are a distribution company that specializes in medical supplies and hotel supplies. Our products are manufactured in China by suppliers who can produce over 100,000 units per week. These products can be ordered and shipped directly to retailers within a few days. We will start with latex and nitrile gloves, and pillows, then expand into hotel and manufacturing plant products and equipment.",4381
AltaFlux Corporation,"Transformation of companies business processes using SAP Success Factors, Dell Boomi",4220
"ALTERNATIVE ENGINEERING, INC.","Designer & Builder of new and refurbished handling equipment & automation; chain, roller & belt conveyors, container handling, turntables, shuttles, transfers,lifts, indexes, over/unders, part handling, robot feeders, spiral chutes, sheet stackers and destackers.",3939
"Alternative Transportation Services, Inc.",Providing non-emergency medical transportation to clients with non-life threating situations,13884
Altimetrik Corp.,"DIGITAL TRANSFORMATION - INFORMATION TECHNOLOGY SOLUTIONS, SPECIALIZING CREATIVE TECHNICAL AND MANAGED SERVICES.",4031
"Alyko Enterprises, LLC","Corporate apparel, embroidery, screen printing, advertising specialties, promotional products, uniforms, Signs, banners, digital signage, trade show displays, ",4216
"AM PRESS, LLC.","CNC MACHINING, PRINTING,OFFSET, SHEETFED, WEB, FORMS. MAILING, VARIABLE IMAGING, FULLFILLMENT, PACKAGING, PROMOTIONAL ITEMS, DESIGN SERVICES, WAREHOUSING, DISTRIBUTION & DELIVERY",3786
"Amaeyaa Technologies, Inc.","Aamaeyaa Technologies, Inc. is a provider of information technology and engineering solutions to medium and large companies in North America. Our business focus includes custom applications development, systems integration, design and remote infrastructure management for Automotive, Energy, Health Care, Financials, Manufacturing, Telecommunications and Services sectors. Based in Farmington Hills, Michigan, we serve medium to large companies in North America. We believe that experience and knowledge is critical for successful business. We are in the process of employing some of the experienced and innovative minds in the business helping us build successful and critical business solutions/products. Aamaeyaa Technologies, Inc. provides best solutions and eventually enable our clients to manage their IT applications to achieve best results in their core businesses. Our philosophy is ?There is a solution for every problem. We exceed our clients? expectations and we make this happen because we strive to deliver the best solutions for most critical business problems.",4314
"Amarra Products, LLC","Amarra Products is a retail company that sells healthy, all natural beauty/skin care products and health and wellness products. ",13344
"Ambe Engineering, LLC","Full Service Supplier of contracts; Permanent, Employee, containment inspection,Problem Solving,engineering/ Manufacturing, Training and Off Shore Sourcing Support.",9096
"American Center Travel, Inc.",Full Service Travel Agency,3922
"AMERICAN HERITAGE GROUP, INC.","VALUED ADDED RESELLER OF PRINT TECHNOLOGY; EXECUTIVE SEARCH CONSULTANTS, PERSONNEL SERVICE, SUPPLEMENTAL EMPLOYMENT STAFFING.",4249
"American IT Solutions, INC","Information technology consulting, software development, support, solutions & services, enterprise applications, web design & development.",4227
"American Safety & Equipment, Inc.","Safety & Energy Solutions Provider - Machine Safety, Arc Flash/Electrical Safety, Lockout Tagout, Power Quality",13262
Americon Group Inc.,Construction Services,14186
AMERIMIN SYSTEMS,"DISTRIBUTOR OF TOOLING PRODUCTS, INDUSTRIAL CONTROLS, ELECTRONIC,  ELECTRICAL SUPPLIES, PACKAGING  MATERIALS, PLUMBING AND MECHANICAL MATERIALS,
 TECHNOLOGY INTEGRATOR OF NETWORK CABLING AND AUDIO VIDEO EQUIPMENT",4050
"AMMEX PLASTICS, LLC.","MANUFACTURER OF INJECTION MOLDED PLASTIC, KITTING, ASSEMBLY. RESINS & PLASTIC WHOLESALING",13834
"AMTECH ELECTROCIRCUITS, INC.","FULL SERVICE CONTRACT MANUFACTURE, DESIGN, ENGINEERING, MANUFACTURING AND ASSEMBLY OF PRINTED CIRCUIT BOARDS, WIRE HARNESS AND ELECTRONIC ASSEMBLIES",3955
"Amtech USA, LLC","International Business Management Company
We assist non-Japanese companies to establish and grow their business with Japanese automotive-related companies, such as Toyota, Honda, Nissan, DENSO, and Aisin Seiki.",4089
AMZ Infotech LLC,We provide IT Consulting and IT Contingent Staff Augmentation / IT Staffing Services to our clients all across the country.,13560
Analyzed Transportation Inc,"Our trucking company provides reliable and efficient transportation solutions for businesses and individuals. We specialize in the safe and timely delivery of goods, offering a wide range of freight services including long-haul, regional, and local transportation. With a soon to be growing modern fleet of well-maintained trucks and a dedicated team of experienced drivers, we ensure your cargo reaches its destination securely and on schedule. Whether you need full truckload, less-than-truckload, or specialized freight services, we're here to meet your transportation needs.",13585
"Anderson Medical Supplies, Inc.","Anderson Medical Supplies, Inc. (AMS) is a Durable Medical Equipment (DME) / Home Medical Equipment (HME) company that provides Intermittent Cold Compression Therapy (ICCT), Pulsated Electro Magnetic Field (PEMF) Therapy, and other cutting edge devices to acute and chronic orthopedic patients. AMS Clinical Specialists provide in-home wrap fitting, device training and offer 24/7 patient follow-up as needed.  AMS specializes in Workers Compensation and Auto Injury / Personal Injury patients.",13286
Anderson Paint Store LLC,"Painting Contractor, Paint Retail Store Commercial, Home, Industrial, and Automotive aftermarket/repair, and OEM production",13467
"ANDRE LAROCHE PHOTOGRAPHY,INC.","Commercial Photography, Motion Picture and Video Production, Teleproduction, Graphic Design, Digital Printing, Commercial Lithographic Printing and Prepress Services.  Studio rental for photography and/or video.",3846
Angstrom Electric LLC,Tier 1/ Tier 2 automotive supplier of electrical components.,13601
"Ann Arbor Business Advisors, LLC",Financial and Insurance Services,13678
Annmarie Roche,"AR Reps is a sole proprietor company owned by myself, Annmarie Roche.  I am an advertising artist representative or agent for artists such as graphic designers, CGI (Computer Generated Imagery) Artists who create or contribute to images in art, printed media, video games, simulators, computer animation and VFX in films, television programs, shorts, commercials, and videos. The images may be dynamic or static, and may be two-dimensional (2D), although the term ""CGI"" is most commonly used to refer to the 3-D computer graphics used for creating characters, scenes and special effects in films and television, which is described as 'CGI animation', and commercial photographers who capture assets such as portraits, automotive, products & even landscapes for commercial use.  ",13391
Anu Software Consultants Inc,"ASC, Inc. is systems integration and information system consulting company and was established in 1998.  It is mainly involved in systems development, management consulting/information systems consulting and complete business solutions for IT industry. ASC provides leading edge, result oriented information technology (IT) enabled solutions to enterprises in all major industries worldwide. ASC understands and addresses their client?s business needs from which the information technologies stem. The company provides IT solutions in an efficient and effective manner in the form of staffing, client site consulting, and complete project outsourcing.

ASC?s focus is to provide their clients with high quality, cost competitive and timely solutions. The company is successful in meeting its goals by leveraging their comprehensive knowledge base and technologies, tools and skills. It is because of this unique approach that ASC is in a position to respond with an effective strategy and develop a partnership with the clients for their success.

",4324
Anu Sushi LLC,"Anu Sushi is a wholesale provider of ready-to-eat, grab-and-go sushi.  The company uses a central kitchen (commissary) model to supply sushi to retail partners in health care, education and manufacturing.  ",13544
Anvaya Digital,IT Staffing and Services.,13375
Apex Design Services LLC,"Apex Design Services is a freelance design ? engineering firm specializing in (CAD) Computer Aided Design, (CAE) Computer Aided Engineering, manufacturing and rapid prototype development. Our primary purpose is to provide our customers with the best design and engineering support possible.  Apex Design Services offers design ? engineering services to augment in-house resources for larger companies or providing design and engineering services for inventors.  Additionally, we provide design engineering for individuals who may have a great concept for product idea, but lack the tools to make their vision a reality!",11923
Apptree Inc.,Provide temporary staffing service in the light industries and trucking industry. ,4160
"AR2 Engineering, LLC","Screen Works commercial graphics printing company that provides screen printing and digital printing.  We make posters, banners, decals, trade show displays, and any point of purchase (POP) or point of sale (POS) advertising products, along with custom wallpaper, mural, mesh banners, stadium and university posters, convention centers and retail applications. Our process enables us to print on paperboard, cardboard, vinyl, glass, fabric, plastic, wood, and any stone upto 2 inch thickness - as well as offer custom shapes - with inks that have outdoor durability of over 5 years. ",4415
AR2 Investments LLC,"AR2 Investments LLC, has signed a Franchise agreement with Jackson Hewitt (franchisor). The primary business, as a franchisee, is to provide tax preparation services to individual and business clients. This is a seasonal business, that operates through storefront locations and through kiosks (installed in Walmart front lobby area). ",14062
"AR2, LLC","Our customers are US-based privately held companies of revenues greater than $5 million.  We provide various forms of services to these small businesses - from business strategy,  growth management, operations improvement, cost reduction, customer growth, financial restructuring, succession planning and exit management. ",4413
"Arbor Corporation, Inc.","Arbor Corporation is a fast-growing woman and minority-owned Construction Services and Management firm holding SBA Certifications as 8(a), HUBZone, WOSB, EDWOSB, DBE. Arbor's team of professional engineers (P.E.) bring their technical experience and expertise, having managed over $100M in federal contracts including MATOCs, MACCs, and other large multi-job projects. Arbor Corporation provides Professional Engineer-led project management, construction safety and quality management professionals, logistical support, and utilizes local construction and engineering professionals. Arbor's team is composed of Professional Engineer?s with over 50+ years of experience in the field. Arbor's P.E. led teams have a proven track record of successfully operating a variety of construction projects working with DoD Agencies, GSA, and State and Local Governments. Arbor's team brings technical knowledge, experience, and resourcefulness to the delivery of all construction services.
",13407
"Arcade Travel, Inc","Travel Agency: Boersma Travel Services is a full service Travel Management Company.  We offer airline tickets domestic and international, hotels, corporate housing and per diem payments.",4311
"Archangel and Associates, LLC","Leadership development and diversity, equity and inclusion coaching, consulting, facilitation, speaking and writing. ",13410
"ARCO Systems,  LLC","ARCO Systems is organized to provide quality construction services through employing, training, and mentoring of under-represented minorities in the construction industry.  We are also proficient in industrial cleaning of manufacturing plants and other industrial endeavors. ",4399
"Arcturian, LLC","Our on-site training programs allow us to focus on the needs of your company. Arcturian provides full deployment services from beginning to end or support for organizations already using a Lean or Six Sigma methodology. Our training modules can be customized to meet the specific needs of your company so that the experience contains relevant examples. Use of a live project scenario from within your organization is encouraged to provide a real world learning environment.

If you want to reignite interest in Six Sigma, Lean or Problem Solving at a level where it is understood, discussed and practiced on a daily basis in production, contact us today.",13994
Argenta Park LTD,"Argenta Park LTD is a multi-disciplinary design consultancy, specializing in innovative user experience and industrial design. We work with start-ups to Fortune 500 companies, conceptualizing and building graceful products and systems to make technology more human.",10814
"ARM TOOLING SYSTEMS, INC.",FABRICATOR OF CARBIDE INSERTS,4214
ARPS INTERNATIONAL,"Recruiting and Staffing Services for Automotive, Aerospace, Defense, Software, Information Technology, Engineering & Design, Manufacturing and IT services",4274
"Arrow Healthcare Staffing, LLC","AHS specializes in contract, contract to hire, and direct placement services within the local/travel Nursing and Allied Health industries. ",13488
Artificial Intelligence Monitoring LLC,"AIMSoft is a reseller and Managed Service Provider partner for Dynatrace LLC. (an American Software Company), offering the world's most sophisticated all in one Artificial Intelligence Digital Experience Monitoring Platform.

We allow business who integrate the solution to seamlessly monitor highly complex software and hardware, detect infrastructure and software issues automatically, fix problems before it impacts business, measure customer integration and satisfaction, test software and hardware before its deployed into live production, utilized by medium-sized businesses all the way to global enterprises with infrastructure globally quickly and seamlessly.

Today's digital landscape is too complex and vast, we help simplify and streamline digital footprints so our customers can focus on what?s most important; improving business and end customer offerings.
",14115
ArtXchangeGR L3C,"ArtXchangeGR is an artists resource company that specializes in helping emerging artists of color build and manage their art careers.  We help artists sell original and reproduced works of art, establish exhibitions, build an online presence, grow and maintain a collector-base, form community relationships, and partner with art-friendly organizations.",14112
AS Technology Corporation,"IT Contract Staffing, Software Development, Project Management & Testing.  ",4516
"Ashford Connex, LLC.","Ashford Connex is a world leading workforce solutions and organization development innovator.  We serve large and small businesses across all industry sectors. Whether you are a start-up or ready to transform, our strategy is tailored to align with clients' goals.  We also provide leadership development, workplace culture assessment to help businesses strive and improve profitability.",13358
Ashlor Management Corporation,"Human Resource Management company, staffing full time and part time employees to employers, payroll and benefit administration",4273
"Ashton Business Consulting, PLLC","CPA- Provide accounting, audit, tax, bookkeeping and advisory services to small businesses and non-profits",4510
AskSupportNow,"IT Training, contracting and consulting services",11910
Aspen Technologies Inc.,Supplier of molded polyurethane foam products. Automotive Tier 1/2. ,13531
"Assure Travel, LLC","Assure Travel is a full service travel management service providing travel arrangements, travel consultant for corporations. The service includes but not limited to booking of air, car & hotel, pre & post trip travel reporting, travel consulting services on policy, compliance and use of best practices in the industry.",4348
"Atier, LLC.","Quality assurance, sorting, rework, containment, fabrication and assembly.  Project & program management, supplier development, consulting  & training.   Engineering and information technology services.",13873
"ATINFO TECHNOLOGY, INC.","Software development, web development, web housing, IT solutions, provider IT, professional services.",4010
"Atom Design, LLC","AtomTech developes electrical hardware designs for industrial solutions that comply to our customer requirements and standards.  We also provide Controls and PLC System Engineering in the field of industrial automation.  Our software engineers and programmers have advanced experience in many different frameworks and languages such as: SQL,React, Node.js, Javascript, PHP, Python and others. We provide customized solutions to fit our clients specific business processes.  Atom Technology designs, develops and implements modern SCADA systems. By combining leading network principles with intuitive graphic design, we achieve highly scalable functional interfaces for operators.",4460
AU Vending LLC,"AU Vending provides a selection of vending service machines that offer a range of hot/cold foods,snacks, and beverages to schools, businesses, and other clients that have person occupied facilities of some type. ",4370
"Audio Engineers of Detroit, LLC","Audio Engineers of Detroit produces digital media. We also provide audiovisual support for events. In addition, the facility offers an audio engineering training program.",13382
"AUDIO VISUAL EQUIPMENT AND SUPPLIES, INC.","We provide solutions for a variety of needs.  Some of the products provided fall into the larger categories of OFFICE SUPPLIES, OFFICE EQUIPMENT, JANITORIAL SUPPLIES, LCD PROJECTORS, COMPUTER, COMPUTER HARDWARE, SOFTWARE, CHEMICALS, TOOLS, SAFETY SUPPLIES, FURNITURE, PROMOTIONAL PRODUCTS, MRO PRODUCTS.  We are flexible and work with our customers to find the solution desired.  An idea of some of the items we've provided include, but not limited to, custom printing, custom first aid kits, delineators, cat/dog food, rat poison.",3912
Audreen Logistics,"Logistics Agency that provides distribution services.  Specializing in all modes of transportation including Air, Rail and Ground.",4536
AUDU ENGINEERING CONSULTANTS,"CIVIL, SITE DESIGN ENGINEERING, CONSULTING, CONSTRUCTION ADMINISTRATION, CONSTRUCTION MANAGEMENT",13743
